tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
head_imu,4.591682,0.2969818,287.0069,9.645344,0.4547238,-9.876723,-0.2957053,-9.714542,-1.802922,-0.4701278,-0.09266108,1.712025,-0.01587595
head_imu,4.641682,0.4698049,286.9206,9.223419,0.4612952,-9.876199,-0.2190631,-9.740195,-1.657962,-0.4240855,-0.09940223,1.712964,-0.01394925
head_imu,4.691681,0.6235928,286.891,8.749091,0.4211098,-9.817309,-0.1122355,-9.70946,-1.479135,-0.3286803,-0.1050906,1.713861,-0.01230314
head_imu,4.74168,0.6986658,286.8024,8.480606,0.3617913,-9.82861,-0.07586107,-9.729575,-1.418414,-0.2484002,-0.1098745,1.714686,-0.01084668
head_imu,4.791679,0.8010148,286.5472,8.213151,0.2915233,-9.832234,-0.06368235,-9.737697,-1.383296,-0.1601046,-0.1139296,1.71543,-0.009549426
right_elbow_imu,0.04166667,344.1044,240.8519,254.2936,-0.01131296,-9.817119,-0.02140626,2.544769,9.098125,-2.669229,-0.3100234,0.9742334,0.02412109
right_elbow_imu,0.09166667,344.13,240.7355,254.3158,-0.02933741,-9.78126,-0.02759323,2.536958,9.071058,-2.637153,-0.3101251,0.9742374,0.02399859
right_elbow_imu,0.1416667,344.1457,240.3309,254.3836,-0.06399155,-9.791703,-0.002461672,2.568238,9.078523,-2.620353,-0.3103867,0.9742622,0.02386993
right_elbow_imu,0.1916667,344.0964,239.835,254.3234,-0.1288652,-9.756393,0.01375675,2.616877,9.040798,-2.572937,-0.3109704,0.974396,0.02377567
right_elbow_imu,0.2416668,343.9608,239.8155,254.1542,-0.3974199,-9.707351,-0.005817413,2.760936,9.013854,-2.349122,-0.3125477,0.9747615,0.02366687
right_elbow_imu,0.2916667,343.8752,239.9961,253.9393,-0.5399466,-9.708138,0.087291,2.944832,8.97974,-2.288976,-0.3154749,0.9753566,0.02377629
right_elbow_imu,0.3416667,343.9596,240.2804,253.8971,-0.543654,-9.830256,0.1266405,3.016388,9.080274,-2.322831,-0.3197612,0.975876,0.02420232
right_elbow_imu,0.3916666,344.2086,240.4217,254.204,-0.7788181,-9.938569,0.174839,3.163314,9.211064,-2.13593,-0.3259946,0.9760491,0.02506544
right_elbow_imu,0.4416666,344.5975,240.3131,254.9335,-0.6311059,-10.08927,0.1722559,3.006696,9.391135,-2.233356,-0.3338057,0.9754989,0.0263592
right_elbow_imu,0.4916665,344.8403,239.8158,256.0583,-0.4792333,-10.07778,0.1101151,2.692442,9.450641,-2.289042,-0.342815,0.9742543,0.02792825
right_elbow_imu,0.5416665,344.8535,239.2785,257.4321,-0.2290845,-9.976072,0.04195198,2.254749,9.410229,-2.437218,-0.3523969,0.9725695,0.02960218
right_elbow_imu,0.5916665,344.6053,239.5522,258.55,0.1100063,-9.880347,0.02417117,1.85115,9.315336,-2.726146,-0.3617038,0.9706839,0.03133653
right_elbow_imu,0.6416664,344.1779,240.43,258.9272,0.5289674,-9.612722,0.07671267,1.559475,8.980441,-3.099996,-0.3696883,0.9692664,0.03326267
right_elbow_imu,0.6916664,343.3846,241.3701,258.7703,0.934124,-9.281321,0.1278624,1.353994,8.541673,-3.498338,-0.3753375,0.9691457,0.03550847
right_elbow_imu,0.7416663,342.1703,242.7586,258.2301,1.247251,-9.024663,0.2142981,1.304686,8.126377,-3.912284,-0.3778685,0.9709632,0.03829001
right_elbow_imu,0.7916663,340.8813,242.6317,257.7353,1.370227,-8.706279,0.1950622,1.2103,7.717168,-4.086003,-0.376974,0.9755151,0.0415592
right_elbow_imu,0.8416662,339.3497,243.8499,257.1521,1.317346,-8.877249,0.4286394,1.548685,7.670924,-4.413983,-0.3727861,0.9823739,0.0459
right_elbow_imu,0.8916662,338.2534,243.711,257.2054,1.068437,-9.299798,0.5568236,1.839479,7.982502,-4.56442,-0.3659271,0.9904832,0.05163285
right_elbow_imu,0.9416661,337.8928,243.1638,257.671,0.5986333,-9.783716,0.6107673,2.138813,8.498956,-4.432361,-0.3575716,0.9986331,0.05889262
right_elbow_imu,0.9916661,337.9573,242.5511,258.947,-0.05859137,-10.30554,0.6253749,2.385516,9.176465,-4.086644,-0.3493625,1.005519,0.06771583
right_elbow_imu,1.041666,337.936,242.1354,260.7077,-0.7099271,-10.34684,0.3481537,2.207766,9.532325,-3.455863,-0.3429282,1.011038,0.07740942
right_elbow_imu,1.091666,338.048,242.5124,261.5115,-1.171589,-10.13674,0.09434819,2.060381,9.574815,-2.865826,-0.3394229,1.015715,0.08733889
right_elbow_imu,1.141666,338.4138,242.5475,262.1043,-1.366591,-9.922166,-0.1373768,1.835196,9.53402,-2.463822,-0.3393341,1.020087,0.09692491
right_elbow_imu,1.191666,338.9114,241.3761,262.6676,-1.30415,-9.492488,-0.3888488,1.472596,9.223138,-2.17361,-0.3425057,1.025228,0.1055388
right_elbow_imu,1.241666,339.4869,240.1049,263.4685,-1.088154,-9.481282,-0.4965544,1.168723,9.224327,-2.207105,-0.3483976,1.031165,0.1129113
right_elbow_imu,1.291666,340.2126,240.4229,264.8779,-0.6976008,-10.10947,-0.3865451,0.8814906,9.742743,-2.67197,-0.3560336,1.036329,0.1193175
right_elbow_imu,1.341666,340.602,241.3515,266.4817,-0.03769398,-10.33692,-0.1408726,0.4950368,9.771595,-3.338283,-0.3637638,1.04015,0.1253714
right_elbow_imu,1.391666,341.4814,242.5445,268.114,0.6779432,-10.32109,0.1141667,0.1041067,9.580647,-3.898449,-0.3697991,1.042669,0.1317108
right_elbow_imu,1.441666,342.6989,242.3545,271.0444,1.194167,-9.854646,0.1124978,-0.6198316,9.068873,-3.990511,-0.372849,1.045051,0.1383315
right_elbow_imu,1.491666,343.7783,242.2524,274.5725,1.39302,-8.847613,-0.248301,-1.517914,8.088005,-3.544374,-0.3724164,1.049814,0.1443313
right_elbow_imu,1.541666,344.6863,242.5723,278.3686,1.253414,-8.285708,-0.8105159,-2.417633,7.524559,-2.901217,-0.3688502,1.058363,0.1483049
right_elbow_imu,1.591666,345.3918,242.6821,282.1278,1.101696,-8.375068,-1.478416,-3.465282,7.467208,-2.402884,-0.3625298,1.070474,0.1485825
right_elbow_imu,1.641665,346.4212,241.9958,285.6487,1.051414,-8.969445,-2.133077,-4.645301,7.770956,-2.034665,-0.3535808,1.084661,0.1435273
right_elbow_imu,1.691665,347.9577,240.5936,288.1479,0.9536147,-9.652371,-2.542585,-5.517156,8.217442,-1.605332,-0.3422478,1.099218,0.1321157
right_elbow_imu,1.741665,349.5274,238.6973,289.3281,0.5796909,-10.74609,-2.758133,-6.061904,9.252669,-1.031178,-0.3294656,1.111409,0.1138088
right_elbow_imu,1.791665,350.4883,236.4401,289.0519,-0.06477833,-11.66338,-2.713728,-5.942353,10.38922,-0.3945836,-0.3168454,1.118942,0.08871752
right_elbow_imu,1.841665,350.6559,233.3048,287.4554,-0.697577,-11.99789,-2.468592,-5.140829,11.13994,0.05944093,-0.305969,1.12098,0.05745478
right_elbow_imu,1.891665,349.6173,230.506,284.6625,-1.075804,-12.29128,-2.179035,-4.126225,11.83023,-0.03539221,-0.2977822,1.11679,0.02074445
right_elbow_imu,1.941665,347.6608,227.5593,280.9246,-0.9555936,-11.9574,-1.773146,-2.942448,11.74276,-0.6974473,-0.2919844,1.107206,-0.02039874
right_elbow_imu,1.991665,344.7884,224.381,276.8275,-0.5773544,-10.94908,-1.352078,-1.828026,10.78414,-1.550725,-0.2876299,1.09475,-0.06492213
right_elbow_imu,2.041666,340.395,221.9442,272.9621,-0.2403021,-9.931226,-2.285199,-1.862609,9.896678,-1.579762,-0.2838762,1.081966,-0.1151585
