tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
right_wrist_imu,3.041679,332.3127,198.9162,265.7194,-1.437759,-7.242198,0.1692533,1.900326,6.431218,-3.094112,1.402523,0.969382,-0.2619721
right_wrist_imu,3.09168,331.7708,204.2776,264.5597,-1.661015,-7.287903,-0.2288699,2.062388,6.677364,-2.661647,1.393542,0.9632559,-0.2280131
right_wrist_imu,3.14168,331.3704,209.3795,263.0734,-1.63002,-7.993073,-0.3617883,2.144343,7.34503,-2.851228,1.380487,0.961647,-0.1949586
right_wrist_imu,3.191681,331.9647,212.613,262.1398,-1.188564,-9.097738,-0.2554357,2.008573,8.235099,-3.520749,1.36446,0.9617938,-0.1625426
right_wrist_imu,3.241682,333.0995,212.7632,263.2957,-0.3598213,-10.48362,-0.07998943,1.362849,9.372752,-4.509602,1.347533,0.9602316,-0.1303267
right_wrist_imu,3.291682,334.6795,213.4844,264.2083,0.5203724,-11.33513,-0.1461542,0.5148303,10.17551,-4.99716,1.331908,0.9548315,-0.09847607
right_wrist_imu,3.341683,335.8266,216.9229,264.2573,1.351881,-11.1531,-0.3413081,-0.2832972,10.03296,-5.059169,1.319662,0.9460487,-0.06747876
right_wrist_imu,3.391684,337.5893,220.7747,263.5579,1.877737,-10.40551,-0.7320738,-0.8375133,9.517532,-4.588219,1.31211,0.9357522,-0.03831163
right_wrist_imu,3.441684,339.6445,222.2884,263.5688,1.915359,-9.437222,-1.286458,-1.290233,8.93137,-3.598719,1.309347,0.9263625,-0.01236065
right_wrist_imu,3.491685,340.8688,222.3859,264.2655,1.718283,-8.961911,-1.683782,-1.543395,8.692638,-2.85648,1.310879,0.9190681,0.009380876
right_wrist_imu,3.541686,341.6713,223.3197,264.4906,1.232862,-9.127922,-1.872696,-1.324172,8.996,-2.380023,1.315494,0.9134539,0.02644067
right_wrist_imu,3.591686,342.3239,226.1651,263.7624,0.6663799,-9.210367,-1.809331,-0.7772391,9.148681,-2.060635,1.321775,0.9093137,0.03897713
right_wrist_imu,3.641687,342.7371,228.5005,263.1946,0.3968239,-9.167833,-1.472744,-0.2950392,9.055017,-2.072536,1.329048,0.906754,0.04783173
right_wrist_imu,3.691688,343.1105,229.226,262.8461,0.3267288,-9.237618,-1.205689,0.002663819,9.066302,-2.167088,1.337137,0.9056002,0.05367211
